ID,Contrato,Cliente,Fecha_Inicio,Fecha_Termino,Region,Ciudad,Estado,Monto
2001,"Proyecto Minería Norte","Empresa Minera ABC","2024-01-15","2024-12-31","Antofagasta","Calama","Activo",5000000
2002,"Construcción Hospital","Ministerio de Salud","2024-02-01","2024-11-30","Metropolitana","Santiago","Activo",12000000
2003,"Carretera Costera","MOP Región de Valparaíso","2023-06-01","2024-03-15","Valparaíso","Viña del Mar","Completado",8500000
2004,"Sistema de Riego","Agricola del Sur Ltda","2024-03-10","","O'Higgins","Rancagua","Pendiente",3200000
2005,"Planta Solar","Energías Renovables SA","2024-01-20","2024-08-30","Atacama","Copiapó","Activo",15000000
2006,"Puerto Pesquero","Sindicato de Pescadores","2023-09-15","2024-06-30","Los Lagos","Puerto Montt","Activo",6800000
2007,"Centro Comercial","Inmobiliaria del Norte","2024-04-01","2025-02-28","Tarapacá","Iquique","Pendiente",9500000
2008,"Túnel Cordillera","Concesionaria Vial","2023-01-10","2024-12-20","Maule","Talca","Activo",25000000
2009,"Parque Eólico","Green Energy Corp","2024-02-15","2024-10-15","Coquimbo","La Serena","Activo",18000000
2010,"Refinería Petróleo","ENAP","2023-03-01","2025-03-01","Biobío","Concepción","Activo",45000000
